age,gender,allowance_permonth,household_income,ordering_amount,spending_amount,goingout_amount,transportation,preferable_food_type,reason,interest_output,expense_output
17,Male,500000,Rp. 5.000.000 - Rp. 16.000.000,3.0,100000,2.0,By car,Main Course (Meal),Time consumption;Availability / Range of choice;Deals and payment option provided,Online food delivery services,Online food delivery services
17,Male,1400000,Prefer not to answer,2.0,100,4.0,By car,Appetizer (Snacks);Main Course (Meal),Price cost;Availability / Range of choice;Deals and payment option provided,Online food delivery services,Online food delivery services
16,Male,1000000,> Rp. 30.000.000,1.0,50000,5.0,By car,Main Course (Meal),Deals and payment option provided,Online food delivery services,Online food delivery services
17,Female,500,> Rp. 30.000.000,1.0,100,1.0,By car,Appetizer (Snacks),Price cost;Availability / Range of choice,Online food delivery services,Online food delivery services
17,Female,1000000,Prefer not to answer,4.0,80,3.0,By car,Appetizer (Snacks);Main Course (Meal),Time consumption,Online food delivery services,Online food delivery services
17,Male,2000000,Prefer not to answer,1.0,1,2.0,By car,Appetizer (Snacks),Availability / Range of choice,Online food delivery services,Online food delivery services
17,Male,200000,Prefer not to answer,0.0,50,2.0,By motorcycle,Appetizer (Snacks),Time consumption,Food takeout,Food takeout
17,Male,600,Rp. 0 - Rp.5.000.000,1.0,50000,2.0,By car,Appetizer (Snacks);Dessert (Sweets / Bakery),Time consumption;Comfort and convenience dining experience,Online food delivery services,Online food delivery services
17,Female,600,Prefer not to answer,1.0,50,3.0,By car,Appetizer (Snacks);Main Course (Meal);Dessert (Sweets / Bakery),Availability / Range of choice,Online food delivery services,Online food delivery services
17,Male,500,Prefer not to answer,2.0,40,2.0,By car,Main Course (Meal),Comfort and convenience dining experience,Food takeout,Online food delivery services
17,Male,1000000,Prefer not to answer,2.0,100000,3.0,By car,Main Course (Meal),Time consumption,Food takeout,Online food delivery services
15,Female,1000000,Prefer not to answer,3.0,200000,2.0,By car,Main Course (Meal),Deals and payment option provided;Comfort and convenience dining experience,Online food delivery services,Online food delivery services
16,Female,125000,Prefer not to answer,1.0,30000,2.0,By car,Appetizer (Snacks);Dessert (Sweets / Bakery),Availability / Range of choice;Deals and payment option provided,Online food delivery services,Food takeout
17,Female,300000,Prefer not to answer,1.0,50000,2.0,By car,Appetizer (Snacks);Main Course (Meal);Dessert (Sweets / Bakery),Availability / Range of choice;Deals and payment option provided,Online food delivery services,Online food delivery services
15,Female,3000000,Prefer not to answer,2.0,100,1.0,By car,Appetizer (Snacks),Time consumption,Online food delivery services,Online food delivery services
16,Male,660,Prefer not to answer,0.7,70,0.3,By motorcycle,Main Course (Meal),Availability / Range of choice,Online food delivery services,Online food delivery services
