availability_range_of_choice,comfort_convenience_dining_experience,deals_and_payment_option,price_cost,time_consumption
1,0,1,0,1
1,0,1,1,0
0,0,1,0,0
1,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
0,1,0,0,1
1,0,0,0,0
0,1,0,0,0
0,0,0,0,1
0,1,1,0,0
1,0,1,0,0
1,0,1,0,0
0,0,0,0,1
1,0,0,0,0
1,1,1,0,1
0,0,1,0,1
1,1,1,0,1
0,1,0,0,1
1,0,0,0,1
0,0,1,1,1
1,0,0,0,1
1,0,0,0,1
1,1,0,0,1
1,1,1,0,1
1,0,1,0,1
0,1,0,0,0
1,0,0,0,0
0,1,1,0,1
1,0,0,0,1
0,1,1,0,0
0,1,0,0,0
0,1,0,0,1
1,1,0,0,0
0,1,0,0,0
1,0,0,0,1
0,1,0,0,0
1,1,0,0,1
0,0,0,0,1
1,0,1,1,0
0,1,0,0,0
1,0,0,0,1
1,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,1,0,0,1
0,0,1,0,1
0,0,0,1,0
0,0,0,1,1
0,0,0,0,1
1,1,1,0,0
0,1,0,0,1
1,0,0,1,1
1,0,0,0,1
1,0,0,0,0
0,0,0,0,1
1,1,0,0,0
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,0,0,1
1,0,0,0,1
0,1,1,0,1
0,1,0,0,1
